pub_date,city,address,title,owner,contractor,engineer,cert_url
"
  2011-04-21
",City of Scarborough,"4438 Sheppard Avenue East, Ground Floor, Unit #102, Scarborough, Ontario M1S 1V2 ","Renovation of HSBC Oriental Center Branch, Retail and Office space","HSBC Bank Canada, Corporate Real Estate",Govan Brown & Associates Ltd.,"Michael Chan, i Design Planning Inc.",https://canada.constructconnect.com/dcn/certificates-and-notices/1590F25F-E6BA-437F-9D97-A12E0095118A
"
  2011-04-20
",City of Ottawa,"275 Slater Street, 19th Floor, Ottawa, Ontario K1P 5H9 ","CCA New Offices, 275 Slater Street",Canadian Construction Association,Massicotte Construction Ltd.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/9836C1C1-0336-4FF0-877C-5D8EF3425F33
"
  2011-04-20
","Ottawa, Ontario","80 Florence Street,  Ottawa, Ontario K1R 7W6 ",Interior and exterior alterations to the 8 story apartment building,Chinese Community Building Corporation,Laurin General Contractor,Dynar Architects + Associates Inc./Samir Rania,https://canada.constructconnect.com/dcn/certificates-and-notices/C7E43246-65CB-4060-8388-750E54720A40
"
  2011-04-20
","Toronto, Ontario",1448 Lawrence Avenue East ,2010 Exterior Repairs,Rossland Real Estate Limited,The Restorers Group,Engineering Link Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/E0ABFAF7-D0C7-4865-909D-41C5C74A3CE3
"
  2011-04-20
",Peel Region,City of Brampton ,"Spine Roads, James Potter Road & SWM Ponds Earthworks",Credit Valley Block 5 Landowners Group Inc.,TACC Construction Ltd.,RAND Engineering Corporation,https://canada.constructconnect.com/dcn/certificates-and-notices/D3B593ED-D140-4B8E-815D-C3BB4A4B4DB8
"
  2011-04-20
",City of Toronto,200 Bay Street ,Mechanical & Electrical Upgrades,BC Richard Ellis Global Corporate Services,PCL,Craig Sievenpiper,https://canada.constructconnect.com/dcn/certificates-and-notices/419D6050-22EF-4F52-B93D-144F4060E7D0
"
  2011-04-20
",Brantford Power Inc.,Powerline Road ,Overhead construction project,Brantford Power Inc.,Southwest Power Corporation,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/C796F7AA-5D25-47E4-BFC8-294874F50A95
"
  2011-04-20
",Town of Bradford West Gwillimbury,"225 Dissette Street, Bradford, Ontario L3Z 2A9 ",Bradford Water Pollution Control Plant - Plant D Upgrade and Expansion Tertiary Filter and UV Disinfection Equipment and Landscaping,Town of Bradford West Gwillimbury,Kenaidan Contracting Ltd,AECOM Canada Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/9BF17421-2156-4D95-BD7B-6DEE5CF01514
"
  2011-04-20
",City of Toronto,"Fenced Storage Yard and Shed, 1 Dundas Street East, Toronto,  ON ",Construction of Fenced Storage Yard and Shed at Yonge-Dundas Square,City of Toronto (Yonge-Dundas Square),Nu-Struct Inc.,Baldwin & Franklin Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/43A2EB00-FCB6-4587-8A0A-316D1D5C0524
"
  2011-04-20
",Town of Nepean,"150 Robertson Rd.,  Nepean ",Interior Renovations,Sobeys Ontario Division,Above Board Construction,Corey White,https://canada.constructconnect.com/dcn/certificates-and-notices/32D2599D-0257-42FF-BADB-DC738CCBA5FE
"
  2011-04-20
",City of Ottawa,"234 Rideau St., Ottawa, ON K1N 5Y1 ",Construction of 26 Storey Condominium Apartments,Claridge Homes (East Tower) Inc.,Claridge Homes (East Tower) Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/E92E94A8-453A-4507-919F-5B047C0BC021
"
  2011-04-20
",Town of Oakville, ,"Interior fit-out Shoppers Drug Mart - SDM 744, 550 Kerr Street, Oakville, ON",Shoppers Drug Mart,Alpha Omega Contracting,K. Paul Architect Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/170264A8-8298-4616-BC90-B26D6BAA5904
"
  2011-04-20
","25 York  Street, Longview Communications Inc., Suite 612, To", ,Tenant fit out,Menkes Union Tower,Menkes Construction,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/0AE60901-0262-4839-ACD4-DA3874A5AEE1
"
  2011-04-20
",City of Toronto,"121 Bloor Street East, Toronto ",Exterior Panel replacement on the 23rd floor rooftop area,Shaw Communications,Century Group Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/486204C1-5A9F-49D9-847F-436C2DC068E4
"
  2011-04-20
","25 York  Street, RCF, Suite 610, Toronto, ON  M5J 2V5", ,Tenant fit out,Menkes Union Tower,Menkes Construction,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/7689D597-4C02-4BE3-BFE1-187347792572
"
  2011-04-20
","Ottawa, Ontario",Fit-Up Phase IV ,Mechanical Contract No. 1214-15010.0,Minto Commercial Properties Inc.,Modern Niagara Ottawa Inc.,Smith & Andersen Consulting Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/4A19ADDD-6888-4115-8F88-7F33F0AEBF78
"
  2011-04-20
",Municipality of Leamington,"111 Erie Street North, Leamington, Ontario N8H 2Z9 ",New Municipal Building,Municipality of Leamington,Oscar Construction Company Limited,J.P. Thomson Architects Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/3FF4D096-01A2-4E76-9B88-A405F24EEE4B
"
  2011-04-20
",City of Toronto,"TD  Canada Trust, 1410 Eglinton Avenue West, Toronto, Ontario ",Fit-up of New TD Canada Trust Retail Banking Branch,The 'Toronto Dominion Bank' Carrying on business as 'TD Canada Trust',Mirtren Construction Ltd.,Petroff Partnership Architects,https://canada.constructconnect.com/dcn/certificates-and-notices/0CEA53A6-D90B-4CD4-AD34-8319E66B746F
"
  2011-04-20
",City of Toronto,"95 St. Joseph St., Toronto, ON  M5S 1G4 ",Roof Replacement,The Basilian Fathers of Toronto,Nortex Roofing Ltd.,Intellectus Project Management Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/E77D913C-1C64-46C4-BD8B-356AC866020D
"
  2011-04-20
",Cochrane District,"Location situated approximately 185 Km northeast of Cochrane, Ontario, via Highway 652 ",Earthwork for Temporary Works - 5847004CH0102-51-002-0001-00,Detour Gold Corporation,450477 Ontario Limited o/a Chartrand Equipment,BBA Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/E014BD9A-1AFB-49CC-94B0-BF1C0CC8E663
"
  2011-04-20
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 6032-08-0170 Snow Ploughing and Driveway Windrow Clearing on Collector and Local Roads, North York District, West-North East",City of TorontoNorth York District,Coco Paving Inc.,"Hector Moreno, Manager, Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/A1A609DB-EB21-4C82-92F5-61E41ADC2A6B
"
  2011-04-20
",Eastern Region, ,Contract #2011-9263 Joint Seal Replacements on Hwy. 416 at Baseline and Richmond Road,Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Clearwater Structures Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/9D206400-9746-4F13-85E3-BE59EE69DB10
"
  2011-04-20
","Barrie, Ontario","40 Beacon Rd.,  Barrie,  Ontario ",Upgrade of AC and DC Power Plan,Bell Canada,Walkers Electric 2000,SNC Lavalin-Nexacor,https://canada.constructconnect.com/dcn/certificates-and-notices/552439E3-1D13-40FD-B537-AF24D591B924
"
  2011-04-20
",City of Toronto,"4 King Street West, 12th Floor, Toronto,  Ontario ",Scotiabank-IT&S Enterprise Application Group; Interior Office Build-Out,The Bank of Nova Scotia,DPI Construction Management,McKinnon Design (Henata KoDesigner),https://canada.constructconnect.com/dcn/certificates-and-notices/D9428E29-4621-4277-9171-7E8777FACA82
"
  2011-04-20
",Niagara Region,"810 East Main Street, Welland, ON ",Construction of a 3 storey community facility,Centre De Sante Communautaire,Brouwer Construction Ltd.,Raffaele Belvedere,https://canada.constructconnect.com/dcn/certificates-and-notices/D32A37E6-3B2A-49D0-9387-DFBA329E17FC
"
  2011-04-20
",City of Toronto,E11117 Stainforth ,Civil Construction - Underground Conduit & Vaults,Toronto Hydro Electric System,Powerline Plus,Sam Hifawi,https://canada.constructconnect.com/dcn/certificates-and-notices/8B408F72-BF4E-431A-A5AC-75F39E09B4A8
"
  2011-04-20
",River's Edge at Riverstone Community,Landscape Development Works Contract No. TOW119 ,"Part B; McVean Drive Edge Blocks 125, 126, 188 - Items 2.1 & 2.2 Part E; Enclave Gateway Features Items 2.1, 2.2 & 2.3 Change Orders Number 2 & 3 Portion of Change Order 1 - Item Site Works 1.3 and Columns and Fencing Works 2.1, 2.2 & 2.3",Port Mark Investments Ltd.,Lomco Limited,The MBTW Group,https://canada.constructconnect.com/dcn/certificates-and-notices/DD6F7656-E41E-4A1E-BA34-1B88FF5F162A
"
  2011-04-20
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 6032-08-0168 Snow Ploughing and Driveway Windrow Clearing on Collector and Local Roads, North York District, West-North West",City of TorontoNorth York District,Coco Paving Inc.,"Hector Moreno, Manager, Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/7E8C4722-C6E0-44BB-A86F-F36DA9AC3D27
"
  2011-04-20
",Municipality of Waterloo,"450 Columbia St. W., Waterloo, ON ",Interior Renovations,FBC Property Management Services c/o Stanley Park Mall,Apollo General Contracting,Nader Hanna,https://canada.constructconnect.com/dcn/certificates-and-notices/90C2C9A4-152E-4E1B-9A2A-DE4C8AEB65BC
"
  2011-04-20
",City of London,"300 Dufferin Avenue, London, ON  N6A 4L9 ",Observation Deck Repairs,City of London,Norlon Builders London Limited,IRC Building Sciences Group London Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/5FF6B2B6-D092-4B51-B50C-ED1D103B837C
"
  2011-04-20
",Hamilton-Wentworth Region,City of Hamilton ,"McMaster University, Project 939 Nuclear Research Building, West Addition",McMaster University,Ira McDonald Construction Ltd,Atkinson Engineering Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/5F4B8977-F97B-4193-AE8F-53C53EF8F28A
"
  2011-04-20
",Municipality of Waterloo,"1187 Fischer Hallman Rd., Kitchener,  ON ",Interior Renovations,Max Becker Enterprises Limited,Apollo General Contracting,Nader Hanna,https://canada.constructconnect.com/dcn/certificates-and-notices/7749E3B4-2460-42AA-B985-1A0E5F727A6F
"
  2011-04-20
",City of Toronto,"194 Hanna Road, Toronto, ON ",Leaside Lawnbowling Clubhouse Renovations,City of Toronto,Direct Construction Company,Cole Engineering Group Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/27F7D0AD-18C6-4479-944A-65482ED3A469
"
  2011-04-20
","City of Toronto (Scarborough), Ontario","3600 Kingston Road (At Markham Road), Scarborough, Ontario ",Scarborough Village Community Centre Addition,The City of Toronto (Capital Projects),Rankine Construction Ltd.,Petroff Partnership Architects,https://canada.constructconnect.com/dcn/certificates-and-notices/D561182D-4A19-47CD-9D40-724D5170367E
"
  2011-04-20
","Mississauga,  Ontario","2680 Skymark Ave., Suite 610 ",Construction of New Offices,A.M.C.T.O.,Comtrac Industries,Comtrac Industries,https://canada.constructconnect.com/dcn/certificates-and-notices/EB25CE9E-1698-454A-9B38-1510F1D2CBB5
"
  2011-04-20
",City of Toronto,E11048 Winter Garden Trail ,Civil Construction - Underground Conduit & Vaults,Toronto Hydro Electric System,Powerline Plus,Sam Hifawi,https://canada.constructconnect.com/dcn/certificates-and-notices/54FBB8AA-ADFA-409B-975C-3F1B3A4BBB81
"
  2011-04-20
",City of Toronto,E09083 Sandhurst Phase 2 ,Civil Construction - Underground Conduit & Vaults,Toronto Hydro Electric System,Powerline Plus,Sam Hifawi,https://canada.constructconnect.com/dcn/certificates-and-notices/BE06C8E4-28FE-42E0-AB9F-3AB9F1E246EC
"
  2011-04-19
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 6032-08-0183 Snow Clearing, Sanding and Salting of Sidewalks, Bus Stops, Pedestrian Crosswalks and Signalized Intersections for City of Toronto, North York District, West-North End",City of TorontoNorth York District,Lima's Gardens and Construction Inc.,"Hector Moreno, Manager Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/1FBAFA48-F75F-4409-AA6B-491318C26998
"
  2011-04-19
","Thunder Bay, Ontario", ,"Contract #2010-6275 (OSS 00166404) Supply, Delivery and Unloading of Toilet Facilities and Concrete Holding Tanks 623 South James Street, Thunder Bay, Ontario",Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Miller Precast Ltd.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/2515F5B9-52DC-4003-995E-9FB8A5319F63
"
  2011-04-19
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 6032-08-0186 Snow Clearing, Sanding and Salting of Sidewalks, Bus Stops, Pedestrian Crosswalks and Signalized Intersections for City of Toronto, North York District, East-North End",City of TorontoNorth York District,Nu-Con Contracting,"Hector Moreno, Manager, Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/2862E4D6-6862-4EFB-A7E1-BC1E9148BE26
"
  2011-04-19
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ",RFQ No. 603810-3204 Supply of Tri-Axle Dump Trucks with Operators for Snow Removal Operations North York District,City of TorontoNorth York District,Road Savers 2000 Ltd.,"Hector Moreno, Manager Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/FFCC7715-0ABE-49DF-BF36-1A1A82B0BD84
"
  2011-04-19
",City of Pickering,1792 Liverpool Road ,interior renovations,Loblaw Properties Limited,B.M.I. Construction Co. Limited,Amy Chan,https://canada.constructconnect.com/dcn/certificates-and-notices/8C761341-012C-43F6-8C75-18A8B5E1AB31
"
  2011-04-19
",Hastings County,City of Belleville ,QHC WCA Washroom and Fire Protection Upgrades,Quinte Healthcare Corporation,Tom Belch & Sons Building Construction Limited,Kasian Architecture Ontario Incorporated,https://canada.constructconnect.com/dcn/certificates-and-notices/9B4C2B64-9EC8-490D-B2C3-221EEBADC775
"
  2011-04-19
",City of Toronto,North York District ,"New Water and Sewer Service Connections and Associated Works RFQ No. NY047-2010, 17 Kenaston Gardens",City of Toronto,Trisan Construction,"Frank Trinchini, P.Eng.",https://canada.constructconnect.com/dcn/certificates-and-notices/DDF8F3DA-79DB-4725-BFAB-F579580449EA
"
  2011-04-19
",City of Kingston,"401 Bath Road, Kingston, ON K7M 7C9 ",New Dealership for Kingston Subaru,Kingston Subaru,Greg Hanna Construction Management Ltd.,"Colbourne & Kembel, Architects Inc.",https://canada.constructconnect.com/dcn/certificates-and-notices/82B9C330-F6BC-46CF-9B37-14C520F8422A
"
  2011-04-19
",City of Hamilton,439 Shaver Road ,Underground Hydro Distribution and Streetlighting System,"1315596 Ontario Inc., c/o Marz Homes",Trans Power Utility Contractors Inc.,RTG Systems Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/928F01B0-4EA2-4BF0-B05D-81CE364059E9
"
  2011-04-19
",Town of Carleton Place,"199 John Street, Carleton Place, Ontario ",Town of Carleton Place Water Treatment Plant Residuals Pumping Station,Corporation of the Town of Carleton Place,Louis W. Bray Construction Ltd.,Stantec Consulting Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/DCF80D15-FB56-41BA-AAC5-55308946D9E1
"
  2011-04-19
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 6032-08-0013 Salting, Snow Ploughing and Snow Removal, 195 Bermondsey Road, North York District",City of TorontoNorth York District,D. Crupi & Sons Limited,"Hector Moreno, Manager Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/63F0156F-C19E-4F1B-B24F-85F3D582C454
"
  2011-04-19
",City of Ottawa,"Canada Aviation and Space Museum, 11 Aviation Parkway, Ottawa, ON ",Boutique,Canada Science and Technology Museum,M.P. Lundy Construction (Ontario) Ltd.,Jane Thompson Architect,https://canada.constructconnect.com/dcn/certificates-and-notices/6A7E394B-631E-4390-B0BC-824A773C8642
"
  2011-04-19
",Waterloo Region,"141 Northfield Drive West, Waterloo,Ontario ",Waterloo Nissan Dealership,Waterloo Properties (2009) Inc.,Zehr Levesque Inc.,SRM Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/6C2DE2AE-F927-4D35-BC42-609D0C10141D
"
  2011-04-19
",City of Toronto - Etobicoke York District,"399 The West Mall, Toronto, ON M9C 2Y2 ","Quotation No. 6032-08-0163, Snow Ploughing and Driveway Windrow Clearing on City of Toronto Roads - South - Etobicoke York District - YEAR 3",City of Toronto,Coco Paving Inc.,"S. Kodama, Acting Director, Transportation Services",https://canada.constructconnect.com/dcn/certificates-and-notices/063E1C44-2AF7-45B0-A6DF-B35BAF7335FD
"
  2011-04-19
",Durham Region,Town of Ajax ,"Construction and interior fit out of free standing 1 storey Bank of Nova Scotia Branch, 5,000 square feet","The Bank of Nova Scotia, Real Estate Department",Mirtren Construction Limited,Dutra Architect Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/EFB4F47E-9623-4111-85CA-1D6188B2F34B
"
  2011-04-19
",City of North York,"55 Deboers Drive, M3J 0G5 (M1) & 1070 Sheppard Avenue West, M3J 0G8 (M2) ","Supply and Installation of Drywall, Acoustical Ceilings & Spray Stucco Work",1691066 Ontario Inc.,4 Star Drywall (99) Ltd.,Darcon Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/ED586495-9AEA-4B3D-A204-25954522DB1F
"
  2011-04-19
",City of Ottawa,"Ray Friel Recreation Complex, 1585 Tenth Line Road, Ottawa, Ontario K1E 3E8 ",Basin Dark Tiles Replacement & Female Change Room Renovations,City of Ottawa,Nicolini Construction Ltd.,J.L. Richards & Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/E688BDE3-C521-417F-80D2-A7A867ED2850
"
  2011-04-19
",City of Vaughan,"8100 Hwy 27, Block 41,  Part of 65M-3627 ","adidas Canada Head Office fit-up, Tenant Improvements",Roybridge Holdings LTD,ZZEN Design Build LTD,ZAS Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/51BEF624-7452-4D47-AB35-093CBB0AB27E
"
  2011-04-19
",City of Hamilton,"1280 Main Street West, Hamilton, Ontario L8S 4L8 ","Lab Renovation Building 25, Room 134",McMaster University,PorteousHardcastle Ltd.,Vanderwesten Rutherford Mantecon Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/1C8867D9-6E32-483F-B970-C842F3F30B01
"
  2011-04-19
","Commercial Traders, 7th Floor, 66 Wellington Street West, To", ,Interior Renovation,TD Bank Financial Group,Rae Brothers Ltd.,"Anjana Kaul, SGH Design Partners Inc.",https://canada.constructconnect.com/dcn/certificates-and-notices/9957F394-E7BB-4E47-94DF-4A43FA54CD1F
"
  2011-04-19
",City of Toronto,865 York Mills Road ,"Earthwork, Asphalt Paving, Concrete Sidewalks and Curb Works",2141805 Ontario Inc.,Basecrete Inc.,Darcon Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/CA090172-3B2C-464C-846E-CB0DB26F4226
"
  2011-04-19
",Waterloo Region,"271 Westcourt Place, Waterloo,  ON ",271 Westcourt Place Suite Conversion,2260696 Ontario Inc. c/o Lexington Park Real Estate Capital,PM Contracting Ltd.,ABA Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/83292B56-0A1E-4438-AFF1-8FD44DDCAB9F
"
  2011-04-19
","Barrie,  Ontario","114 Worsley Street, Barrie, Ontario ",Upgrade Lighting Controls at the Barrie Court House,Ontario Realty Corporation acting as agent on behalf of Her Majesty the Queen in right of Ontario as represented by the ,Earlescourt Contracting Group Ltd.,Algal Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/3951C729-E975-4E09-876A-0E291BD2C68F
"
  2011-04-19
",City of Toronto,"East York District, Various Locations in Toronto ","Water and sewer service connections various locations in Toronto Etobicoke York District, Contract No. EY003-2011, 20 Fasken Drive",City of Toronto,Aecon Utilities,"Frank Trinchini, P. Eng.",https://canada.constructconnect.com/dcn/certificates-and-notices/02A23426-889F-4486-8B00-B38940911C28
"
  2011-04-19
",City of Brampton,south of Countryside Drive and east of Mountainash Road ,Underground Hydro Distribution and Streetlighting System,Brookvalley Developments (Brampton) Inc.,Con-Elco Ltd.,RTG Systems Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/24E6F435-2C70-4F7A-8693-CECAF4F7613F
"
  2011-04-19
",City of Burlington,"4145 North Service Road, Suite #300, Burlington, Ontario  L7L 6A3 ","Office Space Renovation for Ministry of the Environment, Burlington",Ontario Realty Corporation acting as agent on behalf of Her Majesty the Queen in right,Brown Daniels Associates Inc.,Forum Architect Co.,https://canada.constructconnect.com/dcn/certificates-and-notices/5EA3ED40-0935-484A-B3B6-3C6470D89D37
"
  2011-04-19
",Thunder Bay, ,Contract # 2010-6048 Crush and stockpile Granular A and 100 mm minus stone at MTO Firesteel River #42 (Rea Quarry),Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Bernt Gilbertson Enterprises Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/84F4FEE8-C859-4760-B756-7BD6438B85C3
"
  2011-04-19
",City of Toronto - Etobicoke York District,"399 The West Mall, Toronto, ON M9C 2Y2 ","Quotation No. 6032-08-0166, Snow Ploughing and Driveway Windrow Clearing on City of Toronto Roads - North West - Etobicoke York District - Year 3",City of Toronto,Coco Paving Inc.,"S. Kodama, Acting Director, Transportation Services",https://canada.constructconnect.com/dcn/certificates-and-notices/40CD9C56-4637-47D8-98F6-452901A8373A
"
  2011-04-19
",Parry Sound District,"Magnetawan Public School, 31 Sparks Street, Magnetawan, Ontario ","Exterior Door Replacement, Lighting System and Lighting Control Upgrades, PA System Replacement, Magnetawan Public School",The Near North District School Board,W.S. Morgan Construction Limited,Mitchell Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/432DE260-C2CB-4F8B-9518-136D578684CD
"
  2011-04-19
",Municipality of Centre Hastings,"11,379 Highway #62, Ivanhoe, Ontario K0K 2K0 ",Expansion and renovation of the Centre Hastings Community Centre,The Municipality of Centre Hastings,Weiger De Jong Construction Ltd.,Christopher J. Morden P.Eng.,https://canada.constructconnect.com/dcn/certificates-and-notices/51E7F68A-449C-473E-A36D-B62B9A3FE6E0
"
  2011-04-19
",Parry Sound District,"Whitestone Lake Public School, 9  Moore Drive, Dunchurch, Ontario ","Exterior Door Replacement and Lighting Control Upgrades, Whitestone Lake Public School",The Near North District School Board,W.S. Morgan Construction Limited,Mitchell Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/88564A64-7FF4-4B49-912A-94BABA521BBB
"
  2011-04-19
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 6032-08-0184 Snow Clearing, Sanding and Salting of Sidewalks, Bus Stops, Pedestrian Crosswalks and Signalized Intersections for City of Toronto, North York District, West-South End",City of TorontoNorth York District,Lima's Gardens and Construction Inc.,"Hector Moreno, Manager Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/EE3849B6-CCB8-4438-A998-33B53B3238A7
"
  2011-04-19
",City of Cambridge,"700 Coronation Blvd., Cambridge, Ontario N1R 3G2 ",Energy & Facility Renewal Measures,Cambridge Memorial Hosptial,Honeywell Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/9AE4C984-A0BC-418D-AD13-C580D5F4B26C
"
  2011-04-19
","Cornwall, Ontario","218 Pitt Street, Cornwall,  Ontario ",Cornwall OVSS Space Reconfiguration ORC1002609,HER MAJESTY THE QUEEN in the right of Ontario as represented by the Minister of Infrastructure,Asco Construction Ltd.,Fishburn/Sheridan & Associates Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/AEF8C29D-6D35-4BCC-A833-6F3FEE8990BC
"
  2011-04-19
",City of Toronto,"25 Queens Quay East, Toronto, ON ",Shoring & Caissons,Pier 27 Toronto Inc.,Deep Foundations Contractors Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/8A0B2F0C-A211-4107-9DCF-59F64E443E0D
"
  2011-04-19
",Township of Henvey in the District of Parry Sound in the Pro,Lot 4 Concession B in the Township of Henvey ,"Construction of New Sea Lamprey Barrier on the Still River in Britt, Ontario",Great Lakes Fisheries Commission,The Ontario Construction Company LTD.,STEM Engineering Group,https://canada.constructconnect.com/dcn/certificates-and-notices/4135B1CD-E056-41AB-B00C-71D8A73EFDBE
"
  2011-04-19
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 6032-08-0185 Snow Clearing, Sanding and Salting of Sidewalks, Bus Stops, Pedestrian Crosswalks and Signalized Intersections for City of Toronto, North York District, East-South End",City of TorontoNorth York District,Bevcon Construction & Paving Ltd.,"Hector Moreno, Manager, Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/4535CC9F-84C9-4EEA-97EF-210E8FCB8A14
"
  2011-04-19
",City of Toronto-North York District,"64 Murray Road, Toronto, ON  M3K 1T2 ","Contract No. 10NY-114TR, Tender Call No. 178-2010 Supply, Replace and Adjust Frames, Grates and Covers for Maintenance Holes, Valve Chambers and Catch Basins, North York District",City of TorontoNorth York District,Miconi Construction Ltd.,"Hector Moreno, Manager, Road Operations",https://canada.constructconnect.com/dcn/certificates-and-notices/781A8F39-01D6-4AE8-98F8-23D551FECF17
"
  2011-04-19
",Central Region of Ontario, ,"Contract # 2010-2327, Installation of Loop Detectors and Traffic Counting Stations",Her Majesty the Queen in right of Ontario as represented by the Minister of Transportation,Loops Sensors & Control - A Divison of 6188851 Canada Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/53EDFB5A-5CF0-4106-B876-B306636E6DCB
"
  2011-04-19
",City of Toronto,"21 Grand Magazine (914 Fleet Street), Toronto, Ontario ","to provide all labour, materials, tools, equipment and supervision required to complete construction of interior work and finishes","TD Bank Financial Group, Canadian Retail Real Estate",York Contracting Ltd.,Tangram Architect Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/38C81536-46A3-4029-BDDF-62021DB17A17
"
  2011-04-18
","Bowmanville, Ontario",Bowmanville High School ,Chiller and Cooling Tower Retrofit,Kawartha Pine Ridge District School Board,Prairie Plumbing Ltd.,"Mr. Joe Bryson, DEI & Associates Inc.",https://canada.constructconnect.com/dcn/certificates-and-notices/85143556-D3F4-4A12-840D-E927555469AA
"
  2011-04-18
",City of Toronto,"Etobicoke York District, Various Locations in Toronto ","Water Services Replacements - Various Locations in Toronto - Etobicoke York District, Contract No. EY001-2011, 35 Saffron Crescent",City of Toronto,Rabcon Contractors Ltd.,"Frank Trinchini, P. Eng.",https://canada.constructconnect.com/dcn/certificates-and-notices/0F532593-96F2-4F56-A152-0F341D7F697F
"
  2011-04-18
",City of Toronto,4600 Dundas Street West ,Interior Renovations,St. George's on the Hill Anglican Church,Von Construction,Kevin Weiss per Larkin Architect Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/FD13AFDF-67E0-45F7-B8C7-4117EE652057
"
  2011-04-18
","City of Toronto, Ontario",205 Wellington Street West ,"CBC Roof Replacement Project No. 37488214-ON Skylight Repairs, including gasket replacement, glazing replacement, sealant installation and access equipment repairs and certification",The Canadian Broadcasting Corporation,Nortex Roofing Ltd.,Quinn Dressel Associates Consulting Structural Engineers,https://canada.constructconnect.com/dcn/certificates-and-notices/409CD587-E97C-48F9-B5AC-9EEFF3E60FDC
"
  2011-04-18
",City of Toronto,"2087 Yonge Street, Toronto, Ontario M4S 2A4 ",LCBO Store No. 7 (Retail Store),LCBO,Maram Building Corp.,Robbie Young + Wright/IBI Group Architects,https://canada.constructconnect.com/dcn/certificates-and-notices/772E16F2-8E57-4448-B18B-AAFAC6A9A3DF
