pub_date,city,address,title,owner,contractor,engineer
"
  2019-02-21
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ",Renovation of Hilton Garden Inn and Homewood Suites by Hilton - Carpet & Ceramic Tile,Morguard Corporation,Barci Enterprises Inc.,Chamberlain Construction Services Limited
"
  2019-02-21
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ","Renovation of Hilton Garden Inn and Homewood Suites by Hilton - Complete Voice, Data and TV Cabling System",Morguard Corporation,Nuedge Communications,Chamberlain Construction Services Limited
"
  2019-02-21
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ",Renovation of Hilton Garden Inn and Homewood Suites by Hilton - HVAC,Morguard Corporation,TL Mechanical Inc.,Chamberlain Construction Services Limited
"
  2019-02-21
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ",Renovation of Hilton Garden Inn and Homewood Suites by Hilton - Roof Anchors,Morguard Corporation,Ankor Engineering Systems Ltd.,Chamberlain Construction Services Limited
"
  2019-02-21
",City of Toronto,"Toronto East York District, Various Locations in Toronto ","New Water and Sewer Service Connections and Associated Works RFQ No TE056-2018, 255 Bremner Blvd.",City of Toronto,Gio Crete Construction Ltd.,"Antonio Longo, CET"
"
  2019-02-21
",City of Toronto,1.Parkside Drive SB at High Park Boulevard (Stop #11784) 2. Lake Shore Boulevard West EB at Colborne Lodge Drive (Stop #12163) 3. Ninth Street NB at Birmingham Street (Stop #11739) 4. The West Mall SB at Rathburn Road South Side (Stop #8682) 5. Willowridge Road SB at Richgrove Drive (Stop #3174) 6. Princess Margaret Boulevard WB at Martin Grove Road (Stop #6004) 7. Rathburn Road EB at Edenwood Drive (Stop #1474) 8. Burnhamthorpe Road WB at Burnhamthorpe Crescent (Stop #671) 9. Varsity Road WB at Grandpark Court (New Stop) 10. Lawrence Avenue West WB at Blackstone Street (Stop #5342) 11. Lawrence Avenue West EB at Royal York Road East Side (Stop #5402) 12. Church Street WB at Cypress Street (Stop #4877) 13. Oak Street EB at Railway Crossing (Stop #5870) 14. John Garland Boulevard WB at Jamestown Crescent East (Stop #11541) 15. Claireville Drive (Baps Temple) SB at 61 (Stop #14924) 16. Steeles Avenue West EB at Walkway to Cathy Jean Crescent (Stop #9262) 17. Kipling Avenue SB at Steeles Avenue West (Stop #9106) 18. Rossdean Drive SB at Garyray Drive (Stop #8075) 19. Norelco Drive SB at Fenmar Drive (Stop #7995) 20. Signet Drive NB at High Meadow Place (Stop #14519) 21. Sheppard Avenue West EB at Laura Road East Side (Stop #6078) 22. Sentinel Road NB at Dovehouse Avenue (Stop #9223) 23. Keele Street NB at The Pond Road (Stop #4028) 24. Supertest Road WB at Flint Road (Stop #1609) 25. Flemington Road SB at Stockton Road (Stop #6388) 26. Goulding Avenue EB at Cactus Avenue (Stop #6404) 27. Hilda Avenue NB at Green Bush Road (Stop #12046) 28. Finch Ave East EB at 3501 (Stop#2555) 29. York Mills Road WB at Birchwood Avenue (Stop #3253) 30. York Mills Road WB at Fenn Avenue (Stop #3258) 31. Bannatyne Drive WB at Silvergrove Road (Stop #6250) 32. Leslie Street NB at Bond Avenue (Stop #5427) 33. Leslie Street SB at Talwood Drive South Side (Stop #5483) 34. Lawrence Avenue East WB at Tremont Crescent East West Side 35. Lawrence Avenue East EB at Cedarbrae Mall (Stop #5307) 36. Kennedy Road NB at Cowdray Court (Stop #4109) 37. Kennedy Road NB at Sheppard Avenue East (Stop #4121) 38. Finch Avenue East EB at Midblock East of Pharmacy Avenue (Stop #2530) 39. Gordon Baker Road WB at Victoria Park Avenue West Side (Stop #2660) 40. Gordon Baker Road WB at 480 (Stop #2656) 41. Finch Avenue East WB at Neilson Road West Side (Stop #9909) 42. Crow Trail NB at Brad Stone Square (Stop #11546) 43. Crow Trail NB at Horseley Hill Drive (Stop #11545) 44. Tapscott Road NB at McLevin Avenue (Stop #4660) 45. Old Finch Avenue EB at Baffin Court (Stop #14553) 46. Old Finch Avenue EB at Littles Road (Stop #14554) 47. Sheppard Avenue East WB at 8270(Stop #7239) 48. Opposite 8270 Sheppard Avenue East EB (Stop #7238) 49. Military Trail (Pope John Paul II Secondary School) EB at 685 (Stop #11868) 50. Sheppard Avenue East WB at Twyn Rivers Drive North Side (Stop #13888) 51. Lawson Road EB at Port Union Road (Stop #7934) 52. Port Union Road SB at Ravine Park Crescent South Side (Stop #8037) 53. Port Union Road SB at Conference Boulevard (Stop #8036) 54. Lawson Road EB at Brumwell Street East Side (Stop#7923) 55. Lawson Road WB at Brumwell Street (Stop#9890) 56. Beechgrove Drive SB at Coronation Drive (Stop #3318) 57. Kennedy Road NB at Summer Drive North Side (Stop #2764) 58. Hamstead Avenue SB at Westlake Avenue (Stop #3167) 59. Pape Avenue NB at Riverdale Avenue North Side (Stop #5991) 60. Donlands Avenue EB at Elmsdale Road (Stop #9449) 61. Leslie Street SB at Wicksteed Avenue (Stop #13707) 62. Millwood Road WB at Randolph Road (Stop #7980) ,Contract G60-288 Bus Stop Improvements Group 8,Toronto Transit Commission,2220742 Ontario Ltd o/a Bronte Construction,nan
"
  2019-02-21
",City of Toronto,"159 Sir William Hearst Avenue, Toronto, Ontario ","Exterior Cladding, Wall Finishes and Window Repairs at Building D & D2",Infrastructure Ontario,Eagle Restoration Inc.,Stephenson Engineering Limited
"
  2019-02-21
",City of Toronto,"250 Fort York Boulevard, Toronto, Ontario ",Fort York Cedar Roof & HVAC Replacement,City of Toronto,124592 Ontario Limited o/a Colonial Building Restoration,"Sheldon C. Kennedy, Stevens Burgess Architects Ltd."
"
  2019-02-21
",City of Toronto,"5200 Yonge Street, Toronto, Ontario M2N 5P6 ",Kitchen & Vanity Work,5200 Yonge G.P. Inc.,Frendel Kitchens Limited,nan
"
  2019-02-21
",City of Toronto,"5200 Yonge Street, Toronto, Ontario M2N 5P6 ",Metal Fabrication,5200 Yonge G.P. Inc.,Roman Metal Fabricating Ltd.,nan
"
  2019-02-21
",City of Toronto,"55 Woodington Avenue, Toronto, ON, M4C 3J6 ",Earl Beatty Jr. and Sr. Public School - Fire Alarm System Upgrade,Toronto District School Board,Hart-Well Electrical Company Limited,Algal Engineering Ltd.
"
  2019-02-21
",City of Toronto,"700 Arrow Road, Toronto, ON M9M 2M1 ",Contract V60-10 Arrow Road Garage - AntiSlip Flooring in Fuelling Lanes Area,Toronto Transit Commission,Duron Ontario Ltd.,nan
"
  2019-02-21
",City of Toronto,"95 Pachino Blvd, Scarborough, ON M1R 4K1 ",Toronto District School Board - TerraviewWillowfield PS - Emergency Cooling,Toronto District School Board,Vanguard Mechanical Inc.,Spectra Engineering Ltd.
"
  2019-02-21
",City of Toronto,Beech House 873-907 Kingston Rd. and 218-220 Balsam Ave. Toronto ,Concrete Formwork,Beech House Corporation,Alliance Forming Ltd.,nan
"
  2019-02-21
",City of Toronto,"Blessed Trinity Catholic School, 3205 Bayview Avenue, Willowdale, Ontario ","Boiler Replacement, Heating & Full BAS Upgrade - Phase 1",Toronto Catholic District School Board,Pipe All Plumbing and Heating Ltd.,Digital Climate Ltd - Jack Jakobczyk
"
  2019-02-21
",City of Toronto,"Scarborough, ON (Progress Ave. and Markham Rd) ",E13357 P03 East Feeder Automation of SCNAH9M26,Toronto HydroElectric System - Ltd.,Aecon,SGS Canada Inc.
"
  2019-02-21
",City of Toronto,"St. Paul's L'amoreaux Centre 3333 Finch Ave. E., Toronto, ON M1W 2R9 ",Retaining Wall Replacement,St. Paul's L'Amoreaux Centre,SMID Construction Ltd.,Accent Building Sciences Inc.
"
  2019-02-21
","City of Toronto, Ontario","100 Yonge Street, 12th Floor (Scotiabank) ","Bank of Nova Scotia, Interior renovations/Alterations",Scotiabank Real Estate Department,Verly Construction Group Inc.,"Tom Kolbasenko, OAA"
"
  2019-02-21
","Durham Region, City of Oshawa","1707 Ritson Road North, Part of Lot 8, Concession 4, City of Oshawa, Regional Municipality of Durham ",Contract I -  Site Preparation and Rough Grading Works,Daniels LR Corporation,Coreydale Contracting Co.,Candevcon Limited
"
  2019-02-21
",Haldimand County,"This is to certify that the contract for the following improvement: Contract.: PW RO 18-034 Concrete Curbs, Sidewalks, and Catch Basin Repair and Replacements ",,Haldimand County,Decew Construction Inc.,"Wray Oakes, Manager, Roads Operations"
"
  2019-02-21
",Hamilton,1014 King Street West ,Westdale Theatre Restoration,Westdale Cinema Group,Ira McDonald Construction Ltd.,nan
"
  2019-02-21
",Hamilton,"This is to certify that the contract for the following improvement: Ivor Wynne Center (IWC) Renovation New Exterior Door and Temporary Convenience Ramp 1280 Main Street West, Hamilton, Ontario ",,McMaster University,Ira McDonald Construction Ltd.,MacLennan Jaunkalns Miller Architects Ltd.
"
  2019-02-21
","Kaministiquia, Ontario",7547 Highway 11/17 ,Livestock Covered Shelter,Andy & Shelley Livingston,Syncor Contracting Limited,nan
"
  2019-02-21
",Kingston,153 Van Order Drive ,"Roof Replacement, Roof Areas D, L, M & T, Loyalist Collegiate & Vocational Institute",Limestone District School Board,Semple Gooder Roofing Corporation,Fishburn Sheridan & Associates Ltd.
"
  2019-02-21
","Kingston, Ontario",2018 Steel Gas Main Replacement ,"Work pertaining to the construction of replacement gas mains within the City of Kingston (Contract UK-18-14, Utilities Kingston)",Corp. of the City of Kingston,V.J. McMullin Pipeline Welding and Fabrication Ltd.,Utilities Kingston
"
  2019-02-21
","Middlesex County, City of London","1001 Fanshawe College Blvd., London, Ontario ",Fanshawe College H Building Heat Pump Replacement,Fanshawe College,Bronnenco Construction Ltd.,Whitty Stallaert Engineering Inc.
"
  2019-02-21
",Niagara Region,"375 Lake Street, St Catharines, ON L2N 4H5 ",Additions and Interior Alterations to Subaru of Niagara,2348346 Ontario Inc. (Subaru of Niagara),Murmar Construction Ltd.,2M architects inc.
"
  2019-02-21
",Ottawa,same as above ,"Project ID: CP000151 for Project Name: O'toole Dunning, Castor Culverts/struct. for Puchase Order No: 45086256",City of Ottawa,Goldie Mohr Ltd.,McIntosh Perry Consulting
"
  2019-02-21
",Region Municipality of Toronto,"11 Greensboro Drive, Etobicoke, Ontario, M9W 1E1 ",Add Generator,Rogers Communications Canada Inc.,Urbacon Design/Build Corp.,Cinnos Mission Critical Inc.
"
  2019-02-21
",Region Municipality of Toronto,"151 Front Street, Toronto, Ontario, M5J 2N1, Rooms 401A and 401B ",Upgrading cooling systems and fire suppression systems in Rogers Communication Hub Rooms,Rogers Communications Canada Inc.,Urbacon Design/Build Corp.,DND Consultants
"
  2019-02-21
",Renfrew County,"420 Bell Street, Pembroke, Ontario, K8A 2K5 ",Fellowes High School Administration Renovation,Renfrew County District School Board,McDonald Brothers Construction Inc.,Hobin Architecture Inc.
"
  2019-02-21
",Sudbury District,This is to certify that the contract for the following improvement: Contract #2018-5803 Construction of a new material storage structure extension to existing at the Walden patrol in Sudbury ,,Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Storage Systems Construction Corp.,nan
"
  2019-02-21
",Toronto & East York,"325 Bay St. ('St Regis HotelLOBBY') Toronto, Ontario M5H 4G3 ",Interior Renovation of Hotel Lobby Space,InnVest,Eastern Construction Company Ltd.,Core Architects - Deni Poletti
"
  2019-02-21
",Toronto & East York,"325 Bay St. ('St Regis HotelRESTAURANT & BOH') Toronto, Ontario M5H 4G3 ","Interior Renovation of Hotel Restaurant at Level 31, and hotel room floors pantry spaces",InnVest,Eastern Construction Company Ltd.,Core Architects - Deni Poletti
"
  2019-02-21
",Town of East Gwillimbury,"18307 Yonge St. Unit 1, East Gwillimbury, ON L9N 0A2 ",The Beer Store #3415 - Interior Fit-Up,The Beer Store,Mirtren Construction Limited,"Bruno Malfara, Project Manager"
"
  2019-02-21
","Town of New Tecumseth, Tottenham, Ontario","Willow Glen Community Phase 1A, south of Mill Street ","Roads after base course asphalt, curbs, sidewalk, signs and lot gradings",BG Properties Inc.,TACC Construction Ltd.,Sabourin Kimble & Associates Ltd.
"
  2019-02-21
","Town of New Tecumseth, Tottenham, Ontario","Willow Glen Community Phase 1B, south of Mill Street ","Roads after base course asphalt, curbs, sidewalk, signs and lot gradings",BG Properties Inc.,TACC Construction Ltd.,Sabourin Kimble & Associates Ltd.
"
  2019-02-21
",Township of Dawn-Euphemia,"4591 Lambton Line, RR4, Dresden, ON N0P 1M0 ",Replacement of Structure 39 on Lambton Line,Township of Dawn-Euphemia,Murray Mills Excavating & Trucking (Sarnia) Ltd.,B.M. Ross and Associates Limited
"
  2019-02-21
",Township of Ottawa,"Suite 100, 1 Antares Drive K2E 8C4, Ottawa, Ontario ",Tenant Renovations - 1st & 4th Floor,COMINAR on Real Estate Holdings Inc.,C. Giamberardino Contracting Inc.,Ron Roedig - Building INsites Consulting Inc.
"
  2019-02-21
",Township of St. Clair,"This is to certify that the contract for the following improvement: Rehabilitation of the Sombra Main, Port Lambton Main and Industrial park (Corunna) Sewage Pumping Station ",,The Corporation of the Township of St. Clair,K & L Construction (Ontario) Ltd.,"Paul daSilva, CET Coordinator of Engineering"
"
  2019-02-20
","Hastings County, Municipality of Faraday","27538 Highway 28, Bancroft, ON K0L 1M0, ON ",Ground Mount Solar Project,Peterborough Solar Projects Corporation,UGE Canada LTD.,nan
"
  2019-02-20
","Brampton, Ontario","5 Montpelier St. Unit A102, Brampton, ON, L6Y 6H4 ",Interior Tenant Fit-Up for Pedi N Nails,Pedi and Nails Inc.,MLU Construction,HQ System Designs
"
  2019-02-20
",Bruce County,"Bruce County Administration, 30 Park Street, Walkerton, ON, N0G 2V0 ",Integrated Energy Performance Contracting,The Corporation of the County of Bruce,Ecosystem Energy Services Inc.,nan
"
  2019-02-20
",Central Region,This is to certify that the contract for the following improvement: Contract # 2013-2053 Central Region Compass Transportation Operations Centre Video Distribution ,,Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,IBI Group Professional Services (Canada) Inc.,nan
"
  2019-02-20
",City of Cambridge,"75 Pine Bush Road, Cambridge, ON N1R 8R5 ",Landlord's Work. Base Building Renovations,Calloway Real Estate Investment Trust Inc.,Drier Construction Group Inc.,Paul Marques
"
  2019-02-20
",City of Hamilton,"145 Magnolia Drive, Hamilton, Ontario L9C 5P4 ","Sir Allan MacNab Secondary School - Science, Learning Commons Renovation",HamiltonWentworth District School Board,PorteousHardcastle Ltd.,Grguric Architects Incorporated
"
  2019-02-20
",City of Hamilton,"This is to certify that the contract for the following improvement: Contract No. C15-02-18 (H): Mall Road, Viceroy Court and Thorner Neighbourhood - Road Resurfacing, in the City of Hamilton ",,The City of Hamilton,Associated Paving and Materials Ltd.,"Tim Evans, P. Eng., Project Manager"
"
  2019-02-20
",City of London,2427 Daisy Bend & 3025 Doyle Drive ,Site Servicing Contract - Residential Townhouse Development 2427 Daisy Bend & 3025 Doyle Drive (Block 115/116),Sifton Properties Limited,L82 Construction Limited,"Strik, Baldinelli, Moniz Ltd."
"
  2019-02-20
",City of Markham,"11 Coppard Avenue, Markham, Ontario ",Interior Alterations at Armadale P.S.,York Region District School Board,Sandgate Construction Inc.,BJC Architects Inc.
"
  2019-02-20
",City of Markham,"60 Columbia Way Suite 600, Markham, Ontario L3R 0C9 ",6th Floor Renovation of Commercial Office,Miltom Leasing (Markham) Management LP,Marant Construction Limited,Mayhew Inc.
"
  2019-02-20
",City of Ottawa,2688 Carp Road ,New Truck Repair Garage and Offices,Bry-Ain Holdings Ltd.,Argue Construction Ltd.,A+ Architecture Inc.
"
  2019-02-20
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ",Renovation of Hilton Garden Inn and Homewood Suites By Hilton - Elevator,Morguard Corporation,ThyssenKrupp Elevator (Canada),Chamberlain Construction Services Limited
"
  2019-02-20
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ",Renovation of Hilton Garden Inn and Homewood Suites by Hilton - Operable Partitions,Morguard Corporation,Corflex Partitions Inc.,Chamberlain Construction Services Limited
"
  2019-02-20
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ",Renovation of Hilton Garden Inn and Homewood Suites by Hilton - Structural Steel,Morguard Corporation,Absolute Structural Steel Ltd.,Chamberlain Construction Services Limited
"
  2019-02-20
",City of Ottawa,"350 Sparks Street, Ottawa, Ontario ",Renovation of Hilton Garden Inn and Homewood Suites by Hilton-Wall Panels,Morguard Corporation,SM Cladding Solutions Inc.,Chamberlain Construction Services Limited
"
  2019-02-20
",City of Toronto,"501 St. Clair Avenue, Toronto ",Supply & installation of laminate & engineered flooring,501 St. Clair Avenue West Ltd.,Pacific Hardwood Limited o/a Reliable Lumber Products,nan
"
  2019-02-20
",City of Toronto,"111 Richmond Street West, 9th Floor, Toronto, ON, M5H 2G4 ",Interior alteration of 9th floor catering kitchen,Google Inc.,DPI Construction Management,iN Studio
"
  2019-02-20
",City of Toronto,"1499 Yonge Street, Toronto, ON, M4T 1Z2 ",Office renovation,Wittington Properties,Trigon Construction Management,nan
"
  2019-02-20
",City of Brampton,"185 Clark Blvd., Brampton, ON L6T 4G6 ",Damage Repair to Structural Steel Column Provide Jacketing with 600mm dia. concrete column to the existing damaged steel column and the concrete surface be painted with safety yellow product,City of Brampton,D-zine Construction Services,"Candevcon Ltd, Diarmuid K Horgan, P. Eng."
"
  2019-02-20
",City of Toronto,"250 Yonge Street, Toronto ",2017 Roof Renewal,The Cadillac Fairview Corporation Limited,BothwellAccurate Co. Ltd.,WSP Canada Inc.
"
  2019-02-20
",City of Toronto,"2745 Jane Street, Toronto, Ontario ","2 classrooms, library and staff room interior renovation at St. Jane Frances Catholic School","Toronto Catholic District School Board, Capital Development",Deciantis Construction Limited,Taylor Smyth Architects
"
  2019-02-20
",City of Toronto,"30 Gloucester Street, Toronto, Ontario M4Y 1L6 ",Elevator equipment replacement modernization of 3 elevators,Gloucester Gate Inc. c/o Del Property Management,Trident Elevator Company Limited,KJA Consultants Inc.
"
  2019-02-20
",City of Toronto,"302 Bay Street, Toronto, Ontario ",Proposed Elevator Modernization Works,BMO Financial Group,Direct Elevator Service Ltd.,KJA Consultants Inc.
"
  2019-02-20
",City of Toronto,"35 Ormskirk Avenue, Toronto, Ontario ",Building Cladding Repairs,York Condominium Corporation No. 59 c/o Royale Grande Property Management Ltd.,K.I.B. Building Restoration Inc.,Remy Consulting Engineers Ltd.
"
  2019-02-20
",City of Toronto,"85 Bleecker Street, Toronto, Ontario ",Exterior Wall Rehabilitation - Suite 833 & Suite 933,Diane Frankling Co-operative Homes Inc.,Brook Restoration Ltd.,Davroc & Associates Ltd.
"
  2019-02-20
",City of Toronto,"Coppa's Fresh Market, 1 York Street, Toronto, Ontario ",Interior Renovations,Coppa's Fresh Market,B.M.I. Construction Co. Limited,John Louie Coppa
"
  2019-02-20
",City of Toronto,"Ontario Science Centre, 770 Don Mills Road, North York, ON M3C 1T3 ",Renovate Loading Dock Leveler and Accessibility Lift,Colliers Project Leaders,BDA Inc.,MMH Architects Inc.
"
  2019-02-20
",City of Toronto,"Simcoe Hall, University of Toronto, 27 King's College Circle, Toronto, Ontario ",Simcoe Hall Donor Wall,University of Toronto,Clifford Restoration Limited,ERA Architects
"
  2019-02-20
",City of Toronto,"Toronto East York District, Various Locations in Toronto ","New Water and Sewer Service Connections and Associated Works RFQ No.TE120-2018, 181 Bedford Rd",City of Toronto,Co-X-Co Construction Ltd.,"Antonio Longo, CET"
"
  2019-02-20
","City of Toronto, Ontario, Ward 7, Humber River-Black Creek","3395 Weston Road, Toronto, Ontario M9M 2V9 ",Emery Collegiate Institute - Driveway and Parking Lot Improvements,Toronto District School Board,West Metro Contracting Inc.,"Ron Bernasch, OALA"
"
  2019-02-20
","Essex County, Municipality of Leamington",6 & 10 Erie Street South ,Bank Theatre Facade,Sun Parlour Players Community Theatre,Barrineti Construction Ltd.,"Passa Associates Inc., Architect"
"
  2019-02-20
","Hastings County, Municipality of Faraday","1617 Lower Faraday Road, Faraday, ON K0L 1P0 ",Ground Mount Solar Project,Peterborough Solar Projects Corporation,UGE Canada LTD.,Peterborough Solar Projects Corporation
"
  2019-02-20
","Kitchener, Ontario","530 Manitou Dr. Kitchener, Ontario ",Interior Renovations,James E. Wagner Cultivation Corporation,Ball Construction,nan
"
  2019-02-20
",Mississauga,"Unit C3, 6815 Airport Road, Mississauga ",Le Kochi - Interior fit out for an Indian Restaurant,Noby Philip,GreenFrog Construction Inc.,nan
"
  2019-02-20
",Municipality of Kawartha Lakes,"Dr. George Hall Public School, 374 Eldon Road, Little Britain, ON ",Dr. George Hall Public School New Universal Washroom,Trillium Lakelands District School Board,Buffa Construction Inc.,Mitchell Jensen Architects Inc.
"
  2019-02-20
","Newmarket, Ontario","This is to certify that the contract for the following improvement: Project No. 1616, Construction of the Town of Newmarket Municipal Offices - Interior Renovation, Newmarket, ON ",,Corporation of the Town of Newmarket,2231836 Ontario Limited o/a BB Building Solutions,"Ted Handy and Associates Inc., Architect"
"
  2019-02-20
","Niagara Region, City of St. Catharines","Beecher St., Churchill St., Gerrard St., Heatherington St., Jacobson St., Old Fourth Ave., Rockwood Ave., Welland Canal Pkwy, Pelham Rd., Queenston St. ",2018 Asphalt Resurfacing Program Part 1,Corporation of the City of St. Catharines,Rankin Construction Inc.,"Ray Vachon, Project Manager, City of St. Catharines"
"
  2019-02-20
",Peel Region,"4164 Fieldgate Dr., Mississauga, ON L4W 2M9 ",Door Replacement,Peel Condominium Corporation 180,Vamar Construction Inc.,Entuitive
"
  2019-02-20
",Peel Region,"4605 Mississauga Road, Mississauga, ON L5M 7C6 ","Roof Replacement, Roof Repairs & Masonry Repairs",Catholic Church of Croatian Martyrs,Roque Roofing Inc.,IRC Building Sciences Group Inc.
"
  2019-02-20
",Peel Region,G.E. Booth Wastewater Treatment Plant (WWTP) ,"G.E. Booth WWTP TOX Access Platform Project Phases 1&2, Project No. 15010-01",Ontario Clean Water Agency on behalf of the Regional Municipality of Peel,Liftsafe Engineering and Service Group Inc.,"Senior Project Manager, OCWA"
"
  2019-02-20
","Peel Region, City of Mississauga","Canadian Fruit & Produce - 885 Avonhead Road, Mississauga, Ont. ",New addition (including mezzanine) to existing warehouse facility,1808702 Ontario Limited; c/o Steven Weinstein,Synrg Group Construction Partners,nan
"
  2019-02-20
","Pickering, Ontario","1261 Bayly Street, Pickering, Ontario ","Formwork, Concrete Placing, rebar placing and concrete Accessories",SR & R Bay Ridges (Two) Ltd.,Delgant (T.O.) Ltd.,nan
"
  2019-02-20
","Port Hope, Ontario","1 Eldorado Place, Port Hope, Ontario, L1A 3A1 ",Building 70 Construction Facility Install Contract No. PH-18-117,Cameco Corporation,Lakeland Multi-Trade Inc.,nan
"
  2019-02-20
",The Town of Collingwood,"Balmoral Village Phase 1A, Kari Crescent, Sutton Lane, Kimberly Lane ",The electrical servicing of 35 Units including street lighting,Black Ash Enterprises Inc. / Collingwood Seniors GP Ltd. o/a Collingwood Seniors LP / Royalton Homes Inc.,1134905 Ontario Limited o/a Clearlite,C.F. Crozier & Associates Inc.
"
  2019-02-20
",Toronto,"157 Bloor Street West, Toronto, Ontario ",Lillian Massey Building Window Restoration and Stone Repair,"Peter Athanasopoulos, Operations Manager, Victoria University",Heritage Restoration Inc.,"Andrew Pruss, Principal, ERA Architects Inc."
"
  2019-02-20
",Toronto,"55 John St. Floors 4 & 5, Toronto, Ontario, Town of York Plan, Plans 151 378 525E RP 63R4544 Part 1 RP 63R4597 Pts 3-4 ","Office Modernization: Renovations to Floors 4 & 5 (Located at 55 John Street, Toronto)","City of Toronto, OMP",Anacond Contracting Inc.,Straticom Planning Associates
"
  2019-02-20
","Toronto, Ontario",1621 Birchmount Rd ,"Tim Hortons #102009, Renovation of the existing restaurant",1432894 Ontario Inc.,Greenfrog Construction Inc.,nan
